Resistors:  (1, 2, 4, 8)
  8.0 Ohm with 0.00% error   8.0000 using               8                     8.0000   
  8.1 Ohm with 0.03% error   8.1026 using   (8+1)|4  +  (80|40|20|10)      2.7692 +  5.3333
  8.2 Ohm with 0.02% error   8.2019 using   8+4+1  |  (80|10)+(40|20)     13.0000 | 22.2222
  8.3 Ohm with 0.02% error   8.3019 using       8+2  |  (80|10)+40        10.0000 | 48.8889
  8.4 Ohm with 0.00% error   8.4000 using     (8+4+1)|2  +  (20|10)        1.7333 +  6.6667
  8.5 Ohm with 0.00% error   8.5000 using     8+2  |  (80|40)+20+10       10.0000 | 56.6667
  8.6 Ohm with 0.04% error   8.6032 using     (8|1)+2  +  (40|20|10)       2.8889 +  5.7143
  8.7 Ohm with 0.01% error   8.7013 using     (4+1)|2  +  (80|40|10)       1.4286 +  7.2727
  8.8 Ohm with 0.00% error   8.8000 using            8+(4|1)                  8.8000   
  8.9 Ohm with 0.02% error   8.9017 using      8+2+1  |  40+(20|10)       11.0000 | 46.6667
  9.0 Ohm with 0.00% error   9.0000 using              8+1                    9.0000   
  9.1 Ohm with 0.00% error   9.1000 using      8+4+2  |  (80|20)+10       14.0000 | 26.0000
  9.2 Ohm with 0.03% error   9.2030 using    (8+4)|2|1  +  (40+20)|10      0.6316 +  8.5714
  9.3 Ohm with 0.04% error   9.3033 using    8+(4|2)+1  |  80+(40|20)     10.3333 | 93.3333
  9.4 Ohm with 0.08% error   9.4074 using      2  +  (80+20)|40|10         2.0000 +  7.4074
  9.5 Ohm with 0.04% error   9.5043 using      (8|2|1)  +  (80|10)         0.6154 +  8.8889
  9.6 Ohm with 0.00% error   9.6000 using       (8|2)  +  (40|10)          1.6000 +  8.0000
  9.7 Ohm with 0.06% error   9.7063 using     (8|2|1)  +  (80+20)|10       0.6154 +  9.0909
  9.8 Ohm with 0.02% error   9.8020 using        8+2+1  |  80+10          11.0000 | 90.0000
  9.9 Ohm with 0.03% error   9.9029 using     8+4  |  (80|40)+20+10       12.0000 | 56.6667
 10.0 Ohm with 0.00% error  10.0000 using              8+2                   10.0000   
 10.1 Ohm with 0.01% error  10.1010 using     8|(4+1)|2  +  (80|10)        1.2121 +  8.8889
 10.2 Ohm with 0.06% error  10.2061 using    (8+2+1)|4  +  (80|40|10)      2.9333 +  7.2727
 10.3 Ohm with 0.01% error  10.3007 using     8|4|(2+1)  +  (80|10)        1.4118 +  8.8889
 10.4 Ohm with 0.00% error  10.4000 using    (8|2)+(4|1)  +  (40|10)       2.4000 +  8.0000
 10.5 Ohm with 0.03% error  10.5027 using    8|4|(2+1)  +  (80+20)|10      1.4118 +  9.0909
 10.6 Ohm with 0.00% error  10.6000 using      (8|2)+1  +  (40|10)         2.6000 +  8.0000
 10.7 Ohm with 0.01% error  10.7006 using   8+4+2+1  |  80|(40+20+10)     15.0000 | 37.3333
 10.8 Ohm with 0.00% error  10.8000 using           8+(4|1)+2                10.8000   
 10.9 Ohm with 0.04% error  10.9048 using     (4|2)+1  +  (40+20)|10       2.3333 +  8.5714
 11.0 Ohm with 0.00% error  11.0000 using             8+2+1                  11.0000   
 11.1 Ohm with 0.04% error  11.1039 using      8+4+(2|1)  |  80+10        12.6667 | 90.0000
 11.2 Ohm with 0.00% error  11.2000 using      8+4+2  |  (80|20)+40       14.0000 | 56.0000
 11.3 Ohm with 0.04% error  11.3043 using      8+4+1  |  80+(20|10)       13.0000 | 86.6667
 11.4 Ohm with 0.06% error  11.4074 using      4  +  (80+20)|40|10         4.0000 +  7.4074
 11.5 Ohm with 0.04% error  11.5044 using        8+4+1  |  80+20          13.0000 | 100.0000
 11.6 Ohm with 0.00% error  11.6000 using          (8|2)  +  10            1.6000 + 10.0000
 11.7 Ohm with 0.12% error  11.7143 using         (8+4)|2  +  10           1.7143 + 10.0000
 11.8 Ohm with 0.15% error  11.8182 using    (8|4|1)+2  +  (80+20)|10      2.7273 +  9.0909
 11.9 Ohm with 0.04% error  11.9048 using   (8|4)+(2|1)  +  (40+20)|10     3.3333 +  8.5714
 12.0 Ohm with 0.00% error  12.0000 using              8+4                   12.0000   
